cell,cm,cc,n,crpss,lat,lon
g-36p4_174p2,0.23637122969128113,0.6783957621548324,1200,0.6515732513710288,-36.4,174.2
g-36p4_174p4,0.3149478877698962,0.6866769869967053,1200,0.541344920925088,-36.4,174.4
g-36p4_174p5,0.24370844703449313,0.6585064575696985,1200,0.6299072784586957,-36.4,174.5
g-36p4_174p6,0.3854658438370451,0.809549671181788,1200,0.5238515219525215,-36.4,174.6
g-36p4_174p7,0.37347134230182844,0.770003000573876,1200,0.5149741727973998,-36.4,174.7
g-36p5_174p2,0.5261812017903041,0.8127368666650727,1200,0.35258110789362973,-36.5,174.2
g-36p5_174p4,0.2403588123236463,0.6571323548909277,1200,0.6342307443322561,-36.5,174.4
g-36p5_174p5,0.29524551853960923,0.687794444769,1200,0.5707358197131568,-36.5,174.5
g-36p5_174p6,0.2698858163119345,0.7047552208431686,1200,0.6170502774154076,-36.5,174.6
g-36p5_174p7,0.49852121656636683,0.8941934671935936,1200,0.4424906523518175,-36.5,174.7
g-36p5_175p4,0.3222185916337486,0.7763434871146455,1200,0.5849535714773564,-36.5,175.4
g-36p6_174p3,0.46093104669038204,0.8108789504924789,1200,0.43156614632746315,-36.6,174.3
g-36p6_174p4,0.32409271749967367,0.7300288272183388,1200,0.5560549043870247,-36.6,174.4
g-36p6_174p5,0.33173332417126944,0.6759138053081308,1200,0.5092076510849765,-36.6,174.5
g-36p6_174p6,0.26020155930339706,0.7066633682325483,1200,0.6317885276065844,-36.6,174.6
g-36p6_174p7,0.5339377346941331,0.9093720547144569,1180,0.4128500739317422,-36.6,174.7
g-36p6_175p4,0.27304904852613043,0.6536309916789954,1200,0.5822581058698828,-36.6,175.4
g-36p6_175p5,0.3657405836129019,0.6893931308677139,1196,0.4694745751925935,-36.6,175.5
g-36p7_174p4,0.15898798506745154,0.6394159005287414,1200,0.7513543455269375,-36.7,174.4
g-36p7_174p5,0.30997441740333154,0.7454220388395091,1200,0.5841625263912144,-36.7,174.5
g-36p7_174p6,0.2598224955471854,0.7173009973050406,1200,0.6377775905465626,-36.7,174.6
g-36p7_174p7,0.3028892214485687,0.7428619389903421,1200,0.5922671420476335,-36.7,174.7
g-36p7_175p5,0.33501818997632304,0.774314149840114,1200,0.5673355703941352,-36.7,175.5
g-36p7_175p7,0.2684765564236203,0.7787381068787848,1200,0.6552415323558703,-36.7,175.7
g-36p8_174p4,0.3230043601995171,0.7490991325955838,1200,0.5688095925564267,-36.8,174.4
g-36p8_174p5,0.3684792655694575,0.7597044458442057,1200,0.5149702393014265,-36.8,174.5
g-36p8_174p6,0.3512786027346567,0.7772475531340266,1200,0.5480479786417762,-36.8,174.6
g-36p8_174p7,0.5201722048178458,0.8427133597014472,1200,0.38274123837062457,-36.8,174.7
g-36p8_175p1,0.2489024908308708,0.6875320743490011,1200,0.6379769030171466,-36.8,175.1
g-36p8_175p2,0.2198699544672364,0.7429630028849048,1188,0.704063387256852,-36.8,175.2
g-36p8_175p5,0.4769883881848343,0.8800537423598023,1179,0.4580008410556571,-36.8,175.5
g-36p8_175p6,0.2507787468768504,0.7426671909944464,1200,0.6623268808454396,-36.8,175.6
g-36p9_174p6,0.5046360602680616,0.8260013128863648,1200,0.3890614307806969,-36.9,174.6
g-36p9_174p7,0.3630010483509097,0.7159340886538849,1200,0.49296862084967585,-36.9,174.7
g-36p9_174p8,0.34439966985614406,0.7093640915506209,1200,0.5144952021700024,-36.9,174.8
g-36p9_175p0,0.2973289858771308,0.7437511644341672,1200,0.6002305608444547,-36.9,175.0
g-36p9_175p5,0.3681059706698196,0.8496425089268779,1194,0.5667519376652332,-36.9,175.5
g-36p9_175p6,0.34616499349824975,0.8270986352994241,1196,0.5814707234126532,-36.9,175.6
g-36p9_175p7,0.33006493052873703,0.8282840354942406,1200,0.6015075549152823,-36.9,175.7
g-36p9_175p8,0.3131180376558992,0.7538603152722742,1200,0.5846471404416489,-36.9,175.8
g-37p0_174p5,0.34059856423752405,0.7455145334405825,1200,0.5431362515957313,-37.0,174.5
g-37p0_174p9,0.30475795726531135,0.7683750924700871,1200,0.6033734562040406,-37.0,174.9
g-37p0_175p0,0.32939085877557533,0.7914928292498613,1200,0.5838359532735677,-37.0,175.0
g-37p0_175p1,0.31565763797476987,0.8191823557329675,1200,0.614667435442584,-37.0,175.1
g-37p0_175p2,0.29185471201152596,0.7876116925136497,1200,0.6294433985863307,-37.0,175.2
g-37p0_175p3,0.1715154221867417,0.6927955854140843,1200,0.7524299724222018,-37.0,175.3
g-37p0_175p6,0.26149981765668645,0.8382031095928202,1200,0.6880233267283904,-37.0,175.6
g-37p0_175p7,0.5291204723023414,0.91128888599885,1200,0.41937130976596915,-37.0,175.7
g-37p0_175p8,0.457241649998425,0.8743059150315822,1200,0.47702326824369223,-37.0,175.8
g-37p1_174p7,0.36135145620872716,0.7756253554113209,1200,0.5341159830739426,-37.1,174.7
g-37p1_174p9,0.403915359779833,0.8564786253171042,1200,0.5283999532034012,-37.1,174.9
g-37p1_175p0,0.3968497666850123,0.8250086160345624,1200,0.5189750034460405,-37.1,175.0
g-37p1_175p1,0.3227192887000141,0.7846465096343309,1200,0.5887074182609808,-37.1,175.1
